Municípios,Agricultura Anual,Área não Observada,Área Urbana,Desflorestamento 2014,Floresta,Hidrografia,Mineração,Mosaico de Ocupações,Não Floresta,Outros,Pasto com Solo Exposto,Pasto Limpo,Pasto Sujo,Reflorestamento,Regeneração com Pasto,Vegetação Secundária,Total Geral
Alvaraes,, 0.07 , 1.90 , 2.75 ," 5,415.56 ", 133.87 ,, 101.08 , 43.26 , 5.36 ,, 2.92 , 1.02 ,, 5.13 , 198.55 ," 5,911.46 "
Amatura,,, 2.05 , 0.36 ," 4,220.22 ", 209.41 ,, 15.87 , 216.55 , 3.76 ,, 4.03 ,,, 11.44 , 71.74 ," 4,755.42 "
Anama,, 0.86 , 0.89 , 0.44 ," 2,001.85 ", 229.30 ,, 6.90 , 34.81 , 13.11 ,, 2.02 , 0.87 ,,, 160.61 ," 2,451.66 "
Anori,, 0.15 , 2.77 , 0.59 ," 4,646.53 ", 436.07 ,, 17.12 , 636.01 , 4.70 ,, 8.05 , 0.52 ,,, 41.98 ," 5,794.49 "
Apui,, 6.71 , 5.91 , 80.19 ," 51,396.43 ", 213.50 ,, 8.76 , 622.87 , 7.18 ,, 812.61 , 329.85 ,, 208.13 , 546.18 ," 54,238.32 "
Atalaia do Norte,, 10.99 , 2.99 , 0.70 ," 75,692.73 ", 396.05 ,, 12.84 , 15.57 , 2.18 ,,,,, 11.28 , 187.54 ," 76,332.86 "
Autazes,, 24.24 , 4.58 , 8.35 ," 4,864.85 "," 1,124.54 ",, 137.82 , 468.41 , 139.76 ,, 248.64 , 38.05 ,, 90.23 , 451.25 ," 7,600.72 "
Barcelos,, 0.23 , 4.27 , 1.91 ," 100,948.88 "," 4,464.66 ", 0.01 , 25.66 ," 16,837.56 ", 5.68 ,, 1.32 , 0.10 ,, 4.84 , 146.95 ," 122,442.07 "
Barreirinha,, 65.07 , 6.40 , 4.46 ," 3,605.04 ", 975.48 ,, 84.83 , 408.36 , 59.38 ,, 124.85 , 14.63 ,, 55.33 , 347.03 ," 5,750.86 "
Benjamin Constant,, 29.04 , 10.47 , 0.31 ," 8,411.90 ", 200.93 ,, 35.75 , 0.04 , 3.35 ,, 0.75 , 1.17 ,, 0.88 , 97.10 ," 8,791.69 "
Beruri,, 1.04 , 3.44 , 2.29 ," 15,584.50 ", 577.91 ,, 14.26 , 873.43 , 9.18 ,, 11.06 , 0.68 ,, 0.08 , 173.09 ," 17,250.95 "
Boa Vista do Ramos,, 11.70 , 1.83 , 1.01 ," 1,119.42 ", 413.95 ,, 34.48 , 851.93 , 15.04 ,, 10.57 , 2.85 ,, 28.90 , 91.61 ," 2,583.30 "
Boca do Acre,, 17.96 , 5.49 , 71.96 ," 19,542.90 ", 143.16 , 1.90 , 47.57 , 61.64 , 17.49 ,," 1,040.03 ", 315.60 ,, 241.86 , 438.78 ," 21,946.33 "
Borba,, 3.15 , 14.60 , 1.44 ," 41,286.75 "," 1,867.25 ",, 89.50 , 583.91 , 35.41 ,, 14.01 , 3.94 ,, 20.15 , 322.93 ," 44,243.03 "
Caapiranga,, 9.68 , 2.89 , 0.76 ," 8,619.87 ", 432.67 , 0.01 , 11.09 , 181.34 , 42.79 ,, 5.42 , 0.25 ,, 9.71 , 144.23 ," 9,460.72 "
Canutama,, 5.97 , 3.30 , 16.62 ," 27,529.67 ", 295.98 ,, 38.65 , 972.93 , 18.98 , 0.85 , 161.26 , 236.60 ,, 168.53 , 364.64 ," 29,813.98 "
Carauari,, 0.15 , 5.93 , 1.05 ," 25,084.19 ", 391.37 ,, 27.54 , 12.81 , 10.37 ,, 39.81 , 3.90 ,, 17.94 , 175.89 ," 25,770.94 "
Careiro,, 67.07 , 4.59 , 0.53 ," 4,593.12 ", 422.06 ,, 77.71 , 72.40 , 204.25 ,, 113.83 , 17.29 ,, 69.25 , 449.79 ," 6,091.88 "
Careiro da Varzea,, 23.89 , 0.28 , 2.71 , 766.21 , 649.15 ,, 8.61 , 723.13 , 129.07 ,, 120.12 , 13.96 ,, 86.45 , 105.43 ," 2,629.00 "
Coari,, 0.37 , 12.90 , 3.25 ," 53,623.67 "," 2,746.07 ",, 85.46 , 811.85 , 21.69 ,, 7.23 , 0.49 ,, 0.56 , 605.20 ," 57,918.73 "
Codajas, 0.02 , 0.00 , 2.51 , 2.98 ," 16,314.98 "," 1,457.35 ",, 12.39 , 688.14 , 6.84 ,, 8.04 , 0.42 ,,, 219.21 ," 18,712.88 "
Eirunepe,, 1.26 , 9.89 , 2.40 ," 14,304.15 ", 181.76 ,, 57.82 , 165.10 , 6.42 ,, 76.41 , 10.03 ,, 16.53 , 179.62 ," 15,011.37 "
Envira,, 7.02 , 5.01 , 7.45 ," 7,172.22 ", 63.28 ,, 24.09 , 0.11 , 3.94 ,, 75.67 , 24.54 ,, 25.21 , 93.94 ," 7,502.48 "
Fonte Boa,,, 4.83 , 1.00 ," 11,049.62 ", 815.39 ,, 8.17 , 150.43 , 5.33 ,, 1.25 , 0.48 ,, 4.08 , 68.71 ," 12,109.28 "
Guajara,, 0.74 , 2.66 , 1.12 ," 6,915.13 ", 10.46 ,, 30.59 , 197.14 , 4.91 ,, 166.98 , 51.86 ,, 33.59 , 163.16 ," 7,578.34 "
Humaita, 0.02 , 10.24 , 2.08 , 13.95 ," 28,496.19 ", 783.77 ,, 73.40 ," 3,087.09 ", 18.43 ,, 123.49 , 37.74 ,, 64.73 , 356.43 ," 33,067.55 "
Ipixuna,, 0.46 , 2.89 , 1.07 ," 11,692.44 ", 69.08 ,, 19.75 , 64.38 , 2.28 ,, 45.68 , 25.90 ,, 16.96 , 103.48 ," 12,044.38 "
Iranduba, 0.30 , 1.89 , 33.64 , 2.24 ," 1,295.24 ", 322.64 , 0.39 , 99.93 , 132.02 , 43.20 , 0.07 , 35.40 , 9.29 ,, 36.15 , 202.81 ," 2,215.20 "
Itacoatiara, 0.00 , 151.70 , 16.14 , 5.54 ," 4,644.79 "," 1,770.43 ", 0.03 , 252.06 , 861.47 , 182.12 , 0.33 , 245.05 , 23.03 ,, 54.02 , 689.04 ," 8,895.72 "
Itamarati,, 0.49 , 1.74 , 2.45 ," 24,866.50 ", 283.51 ,, 19.06 , 3.01 , 3.90 ,, 14.24 , 0.29 ,, 4.23 , 80.04 ," 25,279.46 "
Itapiranga,, 10.11 , 3.49 , 0.81 ," 3,762.96 ", 177.59 ,, 26.55 , 157.23 , 3.40 ,, 18.88 , 1.46 ,, 4.71 , 63.93 ," 4,231.11 "
Japura,, 1.20 , 5.52 , 0.97 ," 54,255.06 "," 1,482.04 ",, 9.38 , 2.71 , 0.83 ,,,,, 2.71 , 35.23 ," 55,795.65 "
Jurua,, 1.81 , 2.58 , 1.81 ," 18,400.39 ", 713.44 ,, 16.12 , 140.08 , 5.38 ,, 3.03 , 1.50 ,, 4.22 , 109.45 ," 19,399.80 "
Jutai,, 0.10 , 3.63 , 1.61 ," 68,099.67 "," 1,126.45 ",, 11.38 , 96.79 , 14.51 ,, 13.55 , 0.98 ,, 5.74 , 177.99 ," 69,552.40 "
Labrea,, 23.97 , 11.94 , 130.13 ," 62,531.60 ", 443.40 , 2.25 , 33.18 ," 1,765.98 ", 17.26 ,," 2,152.30 ", 160.58 ,, 151.93 , 808.59 ," 68,233.10 "
Manacapuru,, 15.64 , 14.37 , 3.04 ," 4,332.40 "," 1,459.87 ", 0.86 , 102.85 , 798.49 , 189.59 ,, 55.82 , 8.25 ,, 25.91 , 320.51 ," 7,327.60 "
Manaquiri,, 17.31 , 1.51 , 0.14 ," 3,088.33 ", 341.04 ,, 35.82 , 105.94 , 122.31 ,, 27.09 , 2.10 ,, 6.97 , 225.88 ," 3,974.45 "
Manaus, 78.19 , 10.81 , 343.40 , 2.11 ," 8,612.34 "," 1,580.05 ", 16.89 , 189.81 , 2.44 , 38.47 ,, 38.14 , 11.65 ,, 21.40 , 458.73 ," 11,404.42 "
Manicore, 0.04 , 14.73 , 12.43 , 29.78 ," 41,617.44 ", 825.18 ,, 98.19 ," 4,135.80 ", 100.05 , 0.09 , 509.92 , 109.89 ,, 102.13 , 725.68 ," 48,281.37 "
Maraa,,, 2.02 , 1.68 ," 14,400.01 "," 1,799.86 ",, 21.59 , 592.76 , 1.50 ,, 2.57 , 0.17 ,, 6.13 , 77.42 ," 16,905.71 "
Maues, 2.55 , 10.27 , 6.41 , 13.87 ," 36,472.52 "," 1,379.53 ", 6.70 , 208.79 , 867.52 , 57.10 , 0.01 , 99.02 , 46.43 ,, 32.87 , 767.39 ," 39,970.97 "
Nhamunda,, 51.31 , 1.22 , 2.32 ," 12,140.99 "," 1,109.11 ",, 62.68 , 342.90 , 15.53 ,, 68.65 , 19.34 ,, 20.91 , 238.43 ," 14,073.40 "
Nova Olinda do Norte,, 0.63 , 4.03 , 1.14 ," 4,473.84 ", 475.04 ,, 83.87 , 281.93 , 26.77 ,, 24.61 , 4.39 ,, 6.83 , 224.66 ," 5,607.75 "
Novo Airao,, 0.15 , 3.73 , 0.86 ," 36,114.27 "," 1,327.87 ",, 15.19 , 210.03 , 10.44 ,, 7.36 , 1.38 ,, 4.59 , 66.02 ," 37,761.89 "
Novo Aripuana,, 26.10 , 5.58 , 22.55 ," 37,840.85 ", 766.01 , 10.85 , 23.54 ," 1,614.89 ", 42.87 ,, 296.89 , 62.84 ,, 50.26 , 425.68 ," 41,188.92 "
Parintins,, 76.59 , 2.62 , 4.24 ," 1,568.15 "," 2,378.95 ",, 114.56 ," 1,056.57 ", 19.95 ,, 163.48 , 44.84 ,, 79.20 , 438.31 ," 5,947.48 "
Pauini,, 1.42 , 1.82 , 9.47 ," 41,087.97 ", 257.55 ,, 25.12 , 23.42 , 5.19 ,, 69.08 , 12.72 ,, 9.05 , 107.74 ," 41,610.56 "
Presidente Figueiredo, 43.24 , 108.70 , 11.63 , 6.21 ," 21,281.25 "," 3,408.07 ", 1.48 , 61.46 , 0.98 , 13.44 , 0.02 , 60.55 , 39.79 , 3.01 , 31.84 , 354.03 ," 25,425.71 "
Rio Preto da Eva, 0.83 , 14.53 , 15.91 , 1.11 ," 5,231.90 ", 16.78 , 0.88 , 132.48 ,, 5.22 ,, 34.21 , 6.54 , 6.19 , 17.86 , 326.13 ," 5,810.56 "
Santa Isabel do Rio Negro,, 2.38 , 3.04 , 0.91 ," 61,070.69 ", 622.20 ,, 31.59 , 939.92 , 6.60 ,, 4.36 , 0.74 ,, 3.85 , 151.05 ," 62,837.32 "
Santo Antonio do Ica,, 0.04 , 7.88 , 0.80 ," 11,649.37 ", 439.80 ,, 33.82 , 89.28 , 4.78 ,, 3.11 , 2.32 ,, 4.62 , 73.77 ," 12,309.60 "
Sao Gabriel da Cachoeira,, 45.37 , 20.77 , 1.82 ," 106,052.38 "," 1,472.95 ",, 188.04 , 477.72 , 13.79 ,, 3.14 , 1.03 ,, 17.31 , 857.83 ," 109,152.15 "
Sao Paulo de Olivenca,, 1.47 , 7.09 , 1.00 ," 18,927.02 ", 568.89 ,, 41.42 , 82.86 , 7.92 ,, 4.23 , 5.86 ,, 10.57 , 90.45 ," 19,748.77 "
Sao Sebastiao do Uatuma,, 12.82 , 3.28 , 3.78 ," 9,830.42 ", 638.47 , 0.14 , 27.79 , 65.44 , 3.49 ,, 60.60 , 7.31 ,, 8.61 , 77.24 ," 10,739.39 "
Silves,, 58.71 , 2.01 , 0.54 ," 2,588.26 ", 626.26 ,, 53.68 , 133.09 , 67.18 ,, 31.00 , 1.04 ,, 16.53 , 168.40 ," 3,746.72 "
Tabatinga,, 5.46 , 15.95 , 1.72 ," 3,013.65 ", 53.57 ,, 38.30 , 1.18 , 8.35 ,, 0.77 , 8.38 ,, 0.08 , 74.91 ," 3,222.33 "
Tapaua,, 0.69 , 3.32 , 2.99 ," 85,391.65 "," 1,488.19 ",, 25.96 ," 2,124.44 ", 7.94 , 0.07 , 21.73 , 6.88 ,, 9.07 , 242.40 ," 89,325.33 "
Tefe, 0.00 , 0.35 , 11.60 , 8.79 ," 22,189.29 ", 719.59 ,, 147.59 , 163.90 , 7.34 ,, 5.53 , 2.40 ,, 8.48 , 439.55 ," 23,704.42 "
Tonantins,,, 3.91 , 0.36 ," 5,976.36 ", 308.81 ,, 27.63 , 65.34 , 1.94 ,, 1.49 , 2.43 ,, 1.30 , 41.71 ," 6,431.27 "
Uarini,, 0.21 , 2.45 , 3.46 ," 9,466.29 ", 433.31 ,, 84.81 , 99.22 , 1.26 ,, 0.42 ,,, 3.72 , 149.20 ," 10,244.35 "
Urucara,, 15.98 , 4.11 , 1.45 ," 26,495.54 ", 656.25 , 1.78 , 55.89 , 422.64 , 8.52 ,, 58.12 , 7.73 ,, 8.78 , 161.54 ," 27,898.33 "
Urucurituba,, 3.49 , 2.63 , 0.62 , 130.20 ," 1,002.16 ", 0.03 , 13.84 ," 1,686.88 ", 8.54 ,, 15.76 , 4.08 ,, 0.61 , 40.67 ," 2,909.51 "
